id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Estado,Área de texto 1,Comentarios
1,Documento,,,,,,,,,Completo,Diagrama de Flujo,
2,Página,,,,,,,,,,Página 1,
3,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Inicio,
4,Decisión,Figuras de diagrama de flujo/contenedores,2,,,,,,,,¿Tiene cuenta?,
5,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Iniciar sesión,
6,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Registrarse,
7,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Menu Principal,
8,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Recordatorios - Calendario - Notas - Finanzas,
9,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Fin / Salir,
10,Línea,,2,,,3,4,None,Arrow,,,
11,Línea,,2,,,4,5,None,Arrow,,Sí,
12,Línea,,2,,,4,6,None,Arrow,,No,
13,Línea,,2,,,5,7,None,Arrow,,,
14,Línea,,2,,,6,7,None,Arrow,,,
15,Línea,,2,,,7,8,None,Arrow,,,
16,Línea,,2,,,8,9,None,Arrow,,,
